titulok,kategoria,zdroj,datum
"Rozprávka, ktorá ukazuje, že aj po strate sa dá ísť ďalej, zbiera jednu cenu za druhou",legitimate,www.sme.sk,2025-11-27
"Spor ožil, prokurátor uspel so sťažnosťou. Verdikt bude dôležitý pre desiatky samospráv",legitimate,www.sme.sk,2025-11-27
"Nemôžete ho vymeniť, hovorí expert. Nemec to urobil znova, nazývajú ho hrdinom",clickbait,www.sme.sk,2025-11-27
"Ako sa má Bruce Willis? Jeho rodinu nik nepripravil na to, aké bude starať sa oňho",clickbait,www.sme.sk,2025-11-27
"Jedlá dlhovekosti: Spomaľujú starnutie a posilňujú mladistvú vitalitu",misleading,www.aktuality.sk,2025-11-27
"Igor Matovič v statuse tvrdil, že premiér ide na ďalšie gymnázium, realitu vysvetlil riaditeľ",legitimate,www.aktuality.sk,2025-11-27
"Originálna dokumentárna esej AMOOSED: losia odysea skúma vzťah človeka a prírody cez príbeh losa",legitimate,www.aktuality.sk,2025-11-27
"Šokujúci prípad v Nemecku. Gruzínec polial svoju manželku horľavinou a zapálil ju v električke",clickbait,www.aktuality.sk,2025-11-27
"V Pukanci sa zrútila časť historických hradieb, obec pristúpila k nutnému kroku",clickbait,www.aktuality.sk,2025-11-27
"Neozbrojený tanker HMNZS Aotearoa sa plavil Taiwanským prielivom pod dohľadom Číny",legitimate,www.aktuality.sk,2025-11-27
"V Košiciach vznikla prvá ambulancia pre ľudí bez domova na Slovensku",legitimate,www.aktuality.sk,2025-11-27
"Rusko označilo nadáciu Navaľného vo vyhnanstve za teroristickú organizáciu",legitimate,www.aktuality.sk,2025-11-27
"Prezident Pellegrini o rušení úradu: Vôbec nie je isté, že to podpíšem",legitimate,www.aktuality.sk,2025-11-27
"35. Mesiac fotografie má pred sebou posledné dni, niektoré výstavy ešte budú pokračovať",legitimate,www.aktuality.sk,2025-11-27
"Dá sa byť šťastnými aj v tejto dobe?",clickbait,www.aktuality.sk,2025-11-27
"Na charitatívnom podujatí Doma dobre, ktorého cieľom je pomôcť ľuďom bez domova, tento rok vystúpia Hex, Bez ladu a skladu a Lucerka",legitimate,www.aktuality.sk,2025-11-27
"EP vyzval na garancie bezpečnosti Ukrajiny podľa NATO a EÚ",legitimate,www.aktuality.sk,2025-11-27
"Poľsko obvinilo dvoch mužov zo sabotáže železničnej trate v prospech Ruska",legitimate,www.aktuality.sk,2025-11-27
"Primátorka Sliača kriticky: Voda sa do mesta valila od letiska. Škody mohli byť menšie, keby armáda urobila jednu vec (+VIDEO)",clickbait,www.aktuality.sk,2025-11-27
"Základom rokovaní o konci vojny na Ukrajine musí byť súčasná línia bojov, povedal Merz",legitimate,hnonline.sk,2025-11-27
"Klub 500 varuje pred ohrozením priemyslu. Slovenské firmy majú doplácať za výpadok ruského plynu",legitimate,hnonline.sk,2025-11-27
"Taraba kývol na obrovský dopravný uzol v Bratislave. Za pol miliardy pribudne koľaj, mosty aj európsky systém",legitimate,hnonline.sk,2025-11-27
"Pápež v Turecku vyzval na rešpekt, krajina by sa mala usilovať o medzinárodnú stabilitu",legitimate,hnonline.sk,2025-11-27
"Pellegrini: Mier na Ukrajine je zatiaľ v rukách Trumpa, Putina a Zelenského. Európa by sa nemala rozčuľovať",legitimate,hnonline.sk,2025-11-27
"Harabin sa má opäť postaviť pred súd v kauze schvaľovania ruskej agresie",legitimate,hnonline.sk,2025-11-27
"Taliansko odovzdalo do Nemecka Ukrajinca z kauzy Nord Stream",legitimate,hnonline.sk,2025-11-27
"Fiačan apeloval, aby Národná rada zvolila kandidátov na uvoľnené miesto sudcu Ústavného súdu",legitimate,hnonline.sk,2025-11-27
"Je kreatín bezpečný doplnok? Farmaceutka o jeho neuroprotektívnych účinkoch aj rizikách",legitimate,hnonline.sk,2025-11-27
"SaS tvrdí, že vie, prečo chce Fico žalovať Brusel kvôli plynu",legitimate,hnonline.sk,2025-11-27
"Ako podať žiadosť o dôchodok: presný návod krok za krokom​",legitimate,hnonline.sk,2025-11-27
"Americký plán by mohol byť základom budúcich dohôd, vraví Putin. Uisťuje, že Rusko Európu nenapadne",propaganda,hnonline.sk,2025-11-27
"Pellegrini reagoval na stretnutie s koaličnými lídrami: Niekedy som zhrozený z toho, čo sa deje",legitimate,hnonline.sk,2025-11-27
"Zástanca riadeného chaosu, ktorého vychválil aj Weiss. Zo šéfa lavičky Raya môže byť budúca trénerská hviezda",legitimate,hnonline.sk,2025-11-27
"Trumpov ústupok nestačí. Káva napriek nižším clám zrejme opäť zdražie",legitimate,hnonline.sk,2025-11-27
"Podpíšte to, bez mierovej dohody Rusko môže zasiahnuť Európu, varujú USA",misleading,hnonline.sk,2025-11-27
"V Rakúsku sa strhla veľká lavína. Zasiahla aj zjazdovku, štyria ľudia utrpeli zranenia",legitimate,hnonline.sk,2025-11-27
"Kto je kto na sociálnych sieťach",clickbait,hnonline.sk,2025-11-27
"Slovákov obkľúčili zlé pocity, našťastie nie všetkých",biased,hnonline.sk,2025-11-27
"Ján Ferenčák nemá pre Hlas hodnotu, jeho ideály miznú pri pozícii šéfa výboru",biased,hnonline.sk,2025-11-27
"Na Slovensko prídu len poslanci vznikajúcej koalície, rozhodol Okamura",legitimate,hnonline.sk,2025-11-27
"Určite nie je istota, že zrušenie Úradu na ochranu oznamovateľov podpíšem, vyhlásil Pellegrini",legitimate,hnonline.sk,2025-11-27
"Francúzsko zavedie od leta dobrovoľnú vojenskú službu",legitimate,hnonline.sk,2025-11-27
"Ľudia nemali šancu utekať. Ako sa oheň mohol šíriť tak rýchlo? Hongkong hľadá vinníkov",legitimate,hnonline.sk,2025-11-27
"Komisia prijala zmeny v stabilizačnej rezerve pre nový systém emisných povoleniek ETS2",legitimate,hnonline.sk,2025-11-27
"Libanonsko-cyperská dohoda o demarkácii hraníc je neprijateľná, tvrdí Turecko",legitimate,hnonline.sk,2025-11-27
"Prvé kusy sú už zrejme na svete. Apple testuje skladací iPhone, pri ktorom odstránil ryhu v displeji",legitimate,hnonline.sk,2025-11-27
"Teplári vítajú aukciu na plynové zdroje, SaS hovorí o biznise za stovky miliónov",legitimate,hnonline.sk,2025-11-27
"Moskva hlási postup na severe Pokrovska. Pozície držíme a Rusov ničíme, oponuje Ukrajina",legitimate,hnonline.sk,2025-11-27
"Počet obetí záplav v Thajsku vzrástol na 80, v susednej Malajzii zomreli dvaja ľudia",legitimate,hnonline.sk,2025-11-27
"Dôvera v ekonomiku eurozóny aj EÚ v novembri mierne vzrástla, priemysel zaostáva",legitimate,hnonline.sk,2025-11-27
"Žiga si nemyslí, že by prípadný odchod Ferenčáka ohrozil stabilitu koalície",legitimate,hnonline.sk,2025-11-27
"Ak Japonsko prekročí čiaru čo i len o pol kroku, zaplatí bolestivú cenu, hrozí Peking",propaganda,hnonline.sk,2025-11-27
"V Martine došlo k explózii. Pred domom podnikateľa mala vybuchnúť bomba, zasahuje tam polícia",legitimate,hnonline.sk,2025-11-27
"Choďte a zničte ich! Boh to chce! Prvá križiacka výprava sa skončila masakrom, Jeruzalem sa topil v krvi",clickbait,hnonline.sk,2025-11-27
"Ukrajina sa dohodla s Medzinárodným menovým fondom na novom úvere. Získať môže vyše osem miliárd dolárov",legitimate,hnonline.sk,2025-11-27
"Luxus v Číne opäť naberá na sile: Nasvedčujú tomu aj výsledky prémiových značiek",legitimate,hnonline.sk,2025-11-27
"Pred diskusiou o nasadení jednotiek na Ukrajinu je potrebné prímerie, reaguje Ankara na Macrona",legitimate,hnonline.sk,2025-11-27
"V Rusku rastie nová hviezda, na ktorú stavil Putin. Na Slovensku sme o ňom vedeli už v roku 2021",propaganda,hnonline.sk,2025-11-27
"Úvery domácnostiam v eurozóne rastú rýchlejšie, peňažná zásoba zostáva stabilná",legitimate,hnonline.sk,2025-11-27
"Vedci po vyše 50 rokoch otvorili skalu z Mesiaca a objavili veľké prekvapenie",clickbait,hnonline.sk,2025-11-27
"Bude ministerstvo hospodárstva fúkať, aby veterné elektrárne vyrábali dostatok elektriny primeranej kvality?",satire,hnonline.sk,2025-11-27
"Dokáže zakročiť proti všetkým zbraniam sveta. Obávaná Zlatá kupola spustí nové preteky v zbrojení",clickbait,hnonline.sk,2025-11-27
"Po bleskových povodniach v Indonézii hlásia 49 obetí",legitimate,hnonline.sk,2025-11-27
"EÚ by mala napredovať vo využití zmrazených ruských aktív, uviedol eurokomisár pre ekonomiku",legitimate,hnonline.sk,2025-11-27
"Na ukrajinskom fronte zahynul mladý Čech, padol pri Izjume",legitimate,hnonline.sk,2025-11-27
"Posledná šanca kúpiť legendárny roadster od BMW. Blíži sa koniec jednej éry značky",clickbait,hnonline.sk,2025-11-27
"Pokrovsk zažíva ťažké boje, na internete však víťazia Rusi. Takto zneužívajú umelú inteligenciu na propagandu",legitimate,hnonline.sk,2025-11-27
"Matovič hovorí o šikane. Gašpar je človek na úrovni Al Caponeho, tvrdí",biased,hnonline.sk,2025-11-27
"Rusko odsúdilo ôsmich ľudí na doživotie v kauze výbuchu na Krymskom moste",legitimate,hnonline.sk,2025-11-27
"Ochranári spochybňujú verziu funkcionára poľovníckej komory. Nesedí čas a miesto obhliadky zastreleného vlka",legitimate,dennikn.sk,2025-11-27
"The Government's Propaganda War Now Says Péter Magyar Wants to Tax Kittens (136 Days Until the Election)",satire,dennikn.sk,2025-11-27
"Sudcovia ako „návod na zárobok“? Analýza sporného rozhovoru Ayše Pružinec Eren",legitimate,dennikn.sk,2025-11-27
"Orbánova propaganda bojuje proti Magyarovi aj mačiatkami (136 dní do volieb)",propaganda,dennikn.sk,2025-11-27
"Vývoj bojov (1372. deň): Prekážky sú srdcom ukrajinskej obrany. Tento rok ich začali stavať správne, tvrdí analytik",legitimate,dennikn.sk,2025-11-27
"Štát obnovuje staré konfiškácie. Vysvetľujeme, v čom je dnes problém s Benešovými dekrétmi",legitimate,dennikn.sk,2025-11-27
"Neočakávame, že úroky hypoték pôjdu hlbšie pod 3 percentá, hovoria odborníci na reality Kuba a Molnár",legitimate,dennikn.sk,2025-11-27
"Česi rozumejú Hartlovi a Hartl Čechom napriek frflaniu literárnych kritikov. S Vieweghom a Bočkom je to horšie",biased,dennikn.sk,2025-11-27
"Podľa PS Taraba škrečkuje pre Babiša peniaze určené na vrakunskú skládku a gudrónové jamy",biased,dennikn.sk,2025-11-27
"Mýtus „zlého Izraela“",biased,dennikn.sk,2025-11-27
"Firma z Prešova vykupuje od lekární lieky. O tom, či ich vyváža do zahraničia, mlčí",legitimate,www.sme.sk,2025-11-27
"Aj jeden názor môže zmeniť postoj celého Ústavného súdu. Fiačan poslancom pripomenul ich povinnosť",legitimate,www.sme.sk,2025-11-27
"Oznamovateľka korupcie: Ak po zrušení úradu stratím prácu, budem uvažovať o odchode zo Slovenska",legitimate,www.sme.sk,2025-11-27
"Únia sa bude naozaj trhať a treba si vybrať",misleading,www.sme.sk,2025-11-27
"Na vianočných trhoch v Bratislave si za pečenú klobásu pýtajú deväť eur. Ceny tento rok opäť narástli",legitimate,www.sme.sk,2025-11-27
"Ako je to s Benešovými dekrétmi: Čo sa deje na južnom Slovensku a čo skutočne navrhuje PS?",biased,www.sme.sk,2025-11-27
"Za tatranským hotelovým kolosom sa v tichosti objavila firma známeho oligarchu",legitimate,www.sme.sk,2025-11-27
"Je jedno, čo ste čakali. Finále Stranger Things dokazuje, prečo je najlepším seriálom Netflixu",clickbait,www.sme.sk,2025-11-27
"Cynická obluda: Akútna hrozba porušovania základných ľudských práv",biased,www.sme.sk,2025-11-27
"SME Minúta: Koalícia nemá istotu, že Pellegrini podpíše zrušenie protikorupčného úradu. Kroky vlády nechápe",legitimate,www.sme.sk,2025-11-27
"Afganistan je pekelná diera, vraví Trump. Po útoku v DC chystá kolektívny trest",legitimate,www.sme.sk,2025-11-27
"SME Minúta: Európa sa obáva, že Trump podmieni bezpečnostné záruky Ukrajine uzavretím mierovej dohody",legitimate,www.sme.sk,2025-11-27
"Ako sa žije na Slovensku: Človek by neveril, koľko toho telo dokáže vydržať, hovorí rušňovodič",legitimate,www.sme.sk,2025-11-27
"Šeherezáda lákala viac než španielske hviezdy. Pre koho ten futbal robíme? pýtal sa Weiss",legitimate,www.sme.sk,2025-11-27
"Opravu múru v havarijnom stave nemá kto vykonať. Hrozí poškodenie domu, cesty aj plynovodu",legitimate,www.sme.sk,2025-11-27
"Novým šéfom rozhlasu bude Peter Janků, doterajší asistent poslanca KDH Jozefa Hajka",legitimate,dennikn.sk,2025-11-27
"Ochranári spochybňujú verziu funkcionára poľovníckej komory. Nesedí čas a miesto obhliadky zastreleného vlka",legitimate,dennikn.sk,2025-11-27
"The Government's Propaganda War Now Says Péter Magyar Wants to Tax Kittens (136 Days Until the Election)",satire,dennikn.sk,2025-11-27
"Sudcovia ako „návod na zárobok“? Analýza sporného rozhovoru Ayše Pružinec Eren",legitimate,dennikn.sk,2025-11-27
"Orbánova propaganda bojuje proti Magyarovi aj mačiatkami (136 dní do volieb)",propaganda,dennikn.sk,2025-11-27
"Vývoj bojov (1372. deň): Prekážky sú srdcom ukrajinskej obrany. Tento rok ich začali stavať správne, tvrdí analytik",legitimate,dennikn.sk,2025-11-27
"Štát obnovuje staré konfiškácie. Vysvetľujeme, v čom je dnes problém s Benešovými dekrétmi",legitimate,dennikn.sk,2025-11-27
"Neočakávame, že úroky hypoték pôjdu hlbšie pod 3 percentá, hovoria odborníci na reality Kuba a Molnár",legitimate,dennikn.sk,2025-11-27
"Česi rozumejú Hartlovi a Hartl Čechom napriek frflaniu literárnych kritikov. S Vieweghom a Bočkom je to horšie",biased,dennikn.sk,2025-11-27
"Podľa PS Taraba škrečkuje pre Babiša peniaze určené na vrakunskú skládku a gudrónové jamy",biased,dennikn.sk,2025-11-27
"Únia musí prevziať vedúcu úlohu pri rokovaniach o Ukrajine, vyzvali europoslanci",legitimate,hnonline.sk,2025-11-27
"Základom rokovaní o konci vojny na Ukrajine musí byť súčasná línia bojov, povedal Merz",legitimate,hnonline.sk,2025-11-27
"Klub 500 varuje pred ohrozením priemyslu. Slovenské firmy majú doplácať za výpadok ruského plynu",legitimate,hnonline.sk,2025-11-27
"Taraba kývol na obrovský dopravný uzol v Bratislave. Za pol miliardy pribudne koľaj, mosty aj európsky systém",legitimate,hnonline.sk,2025-11-27
"Pápež v Turecku vyzval na rešpekt, krajina by sa mala usilovať o medzinárodnú stabilitu",legitimate,hnonline.sk,2025-11-27
"Pellegrini: Mier na Ukrajine je zatiaľ v rukách Trumpa, Putina a Zelenského. Európa by sa nemala rozčuľovať",legitimate,hnonline.sk,2025-11-27
"Harabin sa má opäť postaviť pred súd v kauze schvaľovania ruskej agresie",legitimate,hnonline.sk,2025-11-27
"Taliansko odovzdalo do Nemecka Ukrajinca z kauzy Nord Stream",legitimate,hnonline.sk,2025-11-27
"Fiačan apeloval, aby Národná rada zvolila kandidátov na uvoľnené miesto sudcu Ústavného súdu",legitimate,hnonline.sk,2025-11-27
"Je kreatín bezpečný doplnok? Farmaceutka o jeho neuroprotektívnych účinkoch aj rizikách",legitimate,hnonline.sk,2025-11-27
"SaS tvrdí, že vie, prečo chce Fico žalovať Brusel kvôli plynu",legitimate,hnonline.sk,2025-11-27
"Ako podať žiadosť o dôchodok: presný návod krok za krokom",legitimate,hnonline.sk,2025-11-27
"Americký plán by mohol byť základom budúcich dohôd, vraví Putin. Uisťuje, že Rusko Európu nenapadne",propaganda,hnonline.sk,2025-11-27
"Pellegrini reagoval na stretnutie s koaličnými lídrami: Niekedy som zhrozený z toho, čo sa deje",legitimate,hnonline.sk,2025-11-27
"Zástanca riadeného chaosu, ktorého vychválil aj Weiss. Zo šéfa lavičky Raya môže byť budúca trénerská hviezda",legitimate,hnonline.sk,2025-11-27
"Kazaň dominuje rebríčku hokejových klubov, zo SR najvyššie Košice",legitimate,kosice.dnes24.sk,2025-11-27
"Do systému Dobrý anjel pribudli košické basketbalistky",legitimate,kosice.dnes24.sk,2025-11-27
"Uhynulo ďalšie zviera z košickej ZOO!",clickbait,kosice.dnes24.sk,2025-11-27
"Košickí poslanci schválili nový úver na rozvojové projekty",legitimate,kosice.dnes24.sk,2025-11-27
"Line-up micro.Wilsonicu v Bratislave a Košiciach je známy",legitimate,kosice.dnes24.sk,2025-11-27
"Košičania nemajú pred odvetou v Ríme veľké oči",legitimate,kosice.dnes24.sk,2025-11-27
"Vodiča autobusu odsúdili za napadnutie cestujúceho",legitimate,kosice.dnes24.sk,2025-11-27
"Slovensko bude dočasným domovom pre palestínskych utečencov",legitimate,kosice.dnes24.sk,2025-11-27
"AS Rím nastúpi proti Košiciam bez zranených Brighiho a Andreolliho",legitimate,kosice.dnes24.sk,2025-11-27
"STV bude hľadať detské talenty aj na východe",legitimate,kosice.dnes24.sk,2025-11-27
"Tonya Graves dodržiava české i americké zvyky",legitimate,bratislava.dnes24.sk,2025-11-27
"Leteckí záchranári pomohli zranenému mužovi",legitimate,bratislava.dnes24.sk,2025-11-27
"Investor potvrdil plány na úplné zbúranie PKO",legitimate,bratislava.dnes24.sk,2025-11-27
"Petrovi Hochschornerovi zistili hypertenziu",bulvar,bratislava.dnes24.sk,2025-11-27
"Mestskí policajti budú hliadkovať aj na Štedrý deň",legitimate,bratislava.dnes24.sk,2025-11-27
"Odvoz odpadu cez sviatky bude ako v pracovné dni",legitimate,bratislava.dnes24.sk,2025-11-27
"Počet poberateľov sociálnych dávok neustále rastie",legitimate,bratislava.dnes24.sk,2025-11-27
"Odstúpenie Krčméryho je diskriminačným tlakom",biased,bratislava.dnes24.sk,2025-11-27
"Vážny chce, aby mýto vyhnalo náklad z cesty",legitimate,bratislava.dnes24.sk,2025-11-27
"VIDEOANALÝZA: Nálada ekonomiky v SR sa zlepšila",legitimate,bratislava.dnes24.sk,2025-11-27
